no	front	reading	meaning_vi	han_viet	years
1	捉える	とらえる	Nắm bắt, lĩnh hội	TRÚC	2015,2017,2020
2	加工業	かこうぎょう	Ngành công nghiệp chế biến	GIA CÔNG NGHIỆP	2016,2019
3	部品	ぶひん	Linh kiện; phụ tùng; chi tiết	BỘ PHẨM	2014,2018,2021
4	素材	そざい	Vật liệu sản xuất, nguyên liệu	TỐ TÀI	2015,2017,2022
5	加工する	かこうする	Gia công; sản xuất	GIA CÔNG	2016,2019,2023
6	生み出す	うみだす	Phát minh ra; sinh ra	SANH XUẤT	2014,2018,2020
7	決定	けってい	Sự quyết định	QUYẾT ĐỊNH	2015,2019,2022
8	活かす	いかす	Vận dụng, sử dụng, phát huy	HOẠT	2016,2020,2023
9	学者	がくしゃ	Hiền triết, học giả	HỌC GIẢ	2014,2017,2021
10	論文	ろんぶん	Luận án; luận văn	LUẬN VĂN	2015,2018,2022
11	編集する	へんしゅうする	Biên tập, chỉnh sửa	BIÊN TẬP	2016,2019,2023
12	選択	せんたく	Sự lựa chọn; sự tuyển chọn	TUYỂN TRẠCH	2014,2018,2021
13	行為	こうい	Hành vi; hành động	HÀNH VI	2015,2017,2020
14	知識	ちしき	Tri thức; kiến thức	TRI THỨC	2016,2019,2022
15	理論	りろん	Lý thuyết, lý luận	LÍ LUẬN	2014,2018,2023
16	熟成	じゅくせい	Trưởng thành; chín; lên men	THỤC THÀNH	2015,2019,2021
17	過程	かてい	Quá trình; giai đoạn	QUÁ TRÌNH	2016,2020,2022
18	吟味	ぎんみ	Sự kiểm tra kỹ, chọn lọc	NGÂM VỊ	2014,2017,2023
19	多少	たしょう	Ít nhiều; một chút; một ít	ĐA THIỂU	2015,2018,2020
20	収集	しゅうしゅう	Sự thu thập; sự thu gom	THU TẬP	2016,2019,2021
21	全般	ぜんぱん	Tổng quát; toàn bộ	TOÀN BÀN	2014,2018,2022
22	即座	そくざ	Sự tùy ứng; việc ngay lập tức	TỨC TỌA	2015,2017,2023
23	相対的な	そうたいてき	Tương đối	TƯƠNG ĐỐI ĐÍCH	2016,2020,2022
24	移す	うつす	Chuyển; lây nhiễm	DI	2014,2019,2021
25	決断力	けつだんりょく	Sự quyết đoán	QUYẾT ĐOÁN LỰC	2015,2018,2023
26	影響	えいきょう	Ảnh hưởng, tác động	ẢNH HƯỞNG	2014,2017,2020,2022
27	評価	ひょうか	Đánh giá, nhận xét	BÌNH GIÁ	2015,2018,2021,2023
28	課題	かだい	Nhiệm vụ, vấn đề cần giải quyết	KHÓA ĐỀ	2016,2019,2022
29	提案	ていあん	Đề xuất, đề nghị	ĐỀ ÁN	2014,2017,2021
30	目標	もくひょう	Mục tiêu, mục đích	MỤC TIÊU	2015,2019,2022
31	観察	かんさつ	Quan sát, theo dõi	QUAN SÁT	2016,2018,2023
32	実験	じっけん	Thực nghiệm, thí nghiệm	THỰC NGHIỆM	2014,2017,2020
33	分析	ぶんせき	Phân tích	PHÂN TÍCH	2015,2019,2021,2023
34	結果	けっか	Kết quả, thành quả	KẾT QUẢ	2016,2018,2022
35	原因	げんいん	Nguyên nhân, lý do	NGUYÊN NHÂN	2014,2017,2021
36	解決	かいけつ	Giải quyết, tháo gỡ	GIẢI QUYẾT	2015,2020,2023
37	改善	かいぜん	Cải thiện, cải tiến	CẢI THIỆN	2016,2019,2022
38	発展	はってん	Phát triển, mở rộng	PHÁT TRIỂN	2014,2018,2020
39	維持	いじ	Duy trì, bảo tồn	DUY TRÌ	2015,2017,2021
40	促進	そくしん	Xúc tiến, thúc đẩy	XÚC TIẾN	2016,2019,2023
41	確認	かくにん	Xác nhận, kiểm tra	XÁC NHẬN	2014,2018,2022
42	把握	はあく	Nắm bắt, hiểu rõ	BẢ ÁC	2015,2019,2021
43	検討	けんとう	Xem xét, nghiên cứu	KIỂM THẢO	2016,2017,2023
44	対策	たいさく	Biện pháp đối phó, giải pháp	ĐỐI SÁCH	2014,2020,2022
45	状況	じょうきょう	Tình trạng, hoàn cảnh	TRẠNG HUỐNG	2015,2018,2021
46	傾向	けいこう	Khuynh hướng, xu hướng	KHUYNH HƯỚNG	2016,2019,2023
47	特徴	とくちょう	Đặc trưng, đặc điểm	ĐẶC TRƯNG	2014,2017,2020,2022
48	機能	きのう	Chức năng, công năng	CƠ NĂNG	2015,2019,2021
49	効果	こうか	Hiệu quả, tác dụng	HIỆU QUẢ	2016,2018,2023
50	目的	もくてき	Mục đích, mục tiêu	MỤC ĐÍCH	2014,2017,2020,2022
