no	front	reading	meaning_vi	han_viet	years
1	相互	そうご	lẫn nhau, tương hỗ	Tương Hỗ	07/2010
2	辛い	からい	cay, cay đắng	Tân	07/2010
3	景色	けしき	phong cảnh	Cảnh Sắc	07/2010
4	備える	そなえる	chuẩn bị	Bị	07/2010
5	防災	ぼうさい	phòng chống thiên tai	Phòng Tai	07/2010
6	礼儀	れいぎ	lễ nghĩa	Lễ Nghi	07/2010
7	出世	しゅっせ	thành đạt	Xuất Thế	07/2010
8	伝統	でんとう	truyền thống	Truyền Thống	07/2010
9	焦る	あせる	sốt ruột	Tiêu	07/2010
10	暮らす	くらす	sinh sống	Mộ	07/2010
11	規模	きぼ	quy mô	Quy Mô	12/2010
12	触れる	ふれる	chạm, tiếp xúc	Xúc	12/2010
13	尊重	そんちょう	tôn trọng	Tôn Trọng	12/2010
14	治療	ちりょう	điều trị	Trị Liệu	12/2010
15	隣	となり	bên cạnh	Lân	12/2010
16	開催	かいさい	tổ chức	Khai Tế	12/2010
17	頼り	たより	sự nhờ cậy	Lại	12/2010
18	乱れる	みだれる	lộn xộn	Loạn	12/2010
19	運賃	うんちん	cước phí	Vận Tín	12/2010
20	撮影	さつえい	chụp ảnh	Nhiếp Ảnh	12/2010
21	敗れる	やぶれる	thua, bại	Bại	07/2011
22	要求	ようきゅう	yêu cầu	Yêu Cầu	07/2011
23	祝う	いわう	chúc mừng	Chúc	07/2011
24	調節	ちょうせつ	điều chỉnh	Điều Tiết	07/2011
25	至急	しきゅう	khẩn cấp	Chí Cấp	07/2011
26	象徴	しょうちょう	biểu tượng	Tượng Trưng	07/2011
27	激しい	はげしい	mãnh liệt	Kích	07/2011
28	登録	とうろく	đăng ký	Đăng Lục	07/2011
29	誘う	さそう	rủ, mời	Dụ	07/2011
30	変更	へんこう	thay đổi	Biến Canh	07/2011
31	地元	じもと	địa phương	Địa Nguyên	12/2011
32	密接	みっせつ	mật thiết	Mật Tiếp	12/2011
33	豊富	ほうふ	phong phú	Phong Phú	12/2011
34	補う	おぎなう	bổ sung	Bổ	12/2011
35	率直	そっちょく	thẳng thắn	Suất Trực	12/2011
36	与える	あたえる	ban cho	Dữ	12/2011
37	管理	かんり	quản lý	Quản Lý	12/2011
38	福祉	ふくし	phúc lợi	Phúc Chỉ	12/2011
39	討論	とうろん	thảo luận	Thảo Luận	12/2011
40	属する	ぞくする	thuộc về	Thuộc	12/2011
41	装置	そうち	thiết bị	Trang Trí	07/2012
42	占める	しめる	chiếm	Chiếm	07/2012
43	削除	さくじょ	xóa bỏ	Tước Trừ	07/2012
44	焦点	しょうてん	tiêu điểm	Tiêu Điểm	07/2012
45	略す	りゃくす	lược bỏ	Lược	07/2012
46	導く	みちびく	dẫn dắt	Đạo	07/2012
47	扱う	あつかう	xử lý	Tráp	07/2012
48	積極的	せっきょくてき	tích cực	Tích Cực	07/2012
49	抵抗	ていこう	kháng cự	Đề Kháng	07/2012
50	肩	かた	vai	Kiên	07/2012
