no	front	reading	meaning_vi	han_viet	years
1	編む	あむ	đan		
2	縫う	ぬう	may, khâu lại		
3	指す	さす	biểu thị, chỉ vào, tham khảo, chơi		
4	示す	しめす	chỉ, bày tỏ, biểu thị		
5	注ぐ	そそぐ	chảy vào, đổ vào		
6	すすぐ	すすぐ	rửa, súc		
7	触る	さわる	sờ		
8	触れる	ふれる	chạm, đề cập		
9	抱く	いだく	ôm, mang, yêu mến		
10	抱える	かかえる	mang, cầm		
11	担ぐ	かつぐ	mang, vác		
12	剥がす	はがす	bóc ra, lột vỏ		
13	描く	えがく	vẽ, mô tả, tưởng tượng		
14	砕ける	くだける	bị vỡ, trơn, hỏng		
15	砕く	くだく	phá vỡ, nghiền nát		
16	ふさがる	ふさがる	bị chặn, bị chiếm, khít lại		
17	ふさぐ	ふさぐ	chiếm, chặn, bị trầm cảm		
18	避ける	さける	tránh, tránh xa		
19	よける	よける	tránh, để qua một bên		
20	それる	それる	trượt, lỡ, lạc đề		
21	そらす	そらす	trốn tránh, lảng tránh		
22	見つめる	みつめる	nhìn chăm chăm, đối mặt		
23	眺める	ながめる	nhìn, trông coi		
24	見合わせる	みあわせる	nhìn nhau, bị hoãn, bị hủy		
25	見送る	みおくる	đi tiễn (khách)		
26	訪れる	おとずれる	đến, thăm		
27	引き返す	ひきかえす	quay lại		
28	去る	さる	trải ra, đi qua, kéo dài		
29	すする	すする	húp, hút		
30	味わう	あじわう	nếm, thưởng thức, trải nghiệm		
31	匂う	におう	có mùi, nực mùi		
32	飢える	うえる	đói lả		
33	問う	とう	hỏi về, yêu cầu		
34	語る	かたる	nói		
35	誓う	ちかう	thề, hứa		
36	支える	ささえる	hỗ trợ, giúp đỡ		
37	費やす	ついやす	tiêu		
38	用いる	もちいる	sử dụng, nhận nuôi, thuê		
39	改まる	あらたまる	được cải tiến, được thay thế		
40	改める	あらためる	cải tiến, thay thế		
41	収まる・納まる・治まる	おさまる	thu nạp, định cư, bình tĩnh		
42	収める・納める・治める	おさめる	giải quyết, đạt được, giao hàng		
43	沿う・添う	そう	dọc theo, men theo		
44	添える	そえる	gắn với		
45	兼ねる	かねる	không thể		
46	適する	てきする	hợp, xứng đáng		
47	相当する	そうとうする	tương thích		
48	伴う	ともなう	được tham gia, kèm theo, cùng với		
49	響く	ひびく	vang, vọng		
50	次ぐ	つぐ	tiếp theo		
