no	front	reading	meaning_vi	han_viet	years
34	補う	おぎなう	thêm, bổ sung		
35	防ぐ	ふせぐ	phòng, chống		
36	救う	すくう	cứu, giúp		
37	除く	のぞく	loại trừ, bỏ qua, lấy đi		
38	省く	はぶく	bỏ sót, tiết kiệm		
39	誤る	あやまる	mắc lỗi		
40	奪う	うばう	cướp đoạt, trấn lột		
41	しまう	しまう	để lại		
42	怠ける	なまける	lười biếng		
43	失う	うしなう	mất		
44	攻める	せめる	tấn công		
45	にらむ	にらむ	lườm		
46	責める	せめる	đổ lỗi		
47	裏切る	うらぎる	phản bội, thất vọng		
48	頼る	たよる	dựa dẫm, dựa vào		
49	遭う	あう	gặp gỡ		
50	招く	まねく	mời, ra dấu, gọi, nguyên nhân		
51	引っ掛かる	ひっかかる	bị bắt, bị vướng vào, bị lừa		
52	引っ掛ける	ひっかける	mắc, lừa đảo, ném vào		
53	ひっくり返る	ひっくりかえる	đảo ngược, ngã		
54	ひっくり返す	ひっくりかえす	đảo ngược, lật ngửa		
55	ずれる	ずれる	trượt, đi chệch		
56	ずらす	ずらす	đi lạc, thay đổi, đưa ra		
57	崩れる	くずれる	sụp đổ		
58	崩す	くずす	phá		
59	荒れる	あれる	bão bùng, cuồng loạn		
60	荒らす	あらす	tàn phá, đột phá		
61	認める	みとめる	thừa nhận, ủy quyền, xem		
62	見直す	みなおす	nhìn lại, cân nhắc lại		
63	見慣れる	みなれる	quen, nhẵn mặt		
64	求める	もとめる	tìm kiếm, yêu cầu, mua		
65	漏れる	もれる	rò rỉ, chạy trốn, bày tỏ, bị bỏ lại		
66	漏らす	もらす	tràn, buông ra, bỏ lỡ		
67	なる	なる	dở		
68	焦げる	こげる	bị cháy		
69	反する	はんする	trái lại		
70	膨れる	ふくれる	phồng, sưng		
71	膨らむ	ふくらむ	to lên, tăng lên		
72	膨らます	ふくらます	phồng, phình, được làm đầy bởi		
73	とがる	とがる	nhọn, sắc		
74	当てはまる	あてはまる	áp dụng		
75	就く	つく	kiếm việc, trở thành		
76	受け持つ	うけもつ	đảm trách		
77	従う	したがう	theo đó, theo		
78	つぶやく	つぶやく	thì thầm, thì thào		
79	述べる	のべる	phát biểu		
80	目覚める	めざめる	thức giấc, mở mắt		
81	限る	かぎる	không nhất thiết, là tốt nhất, nhân dịp		
82	片寄る・偏る	かたよる	dồn về một phía		
83	薄まる	うすまる	suy nhược		
