no	front	reading	meaning_vi	han_viet	years
251	促す	うながす	Thúc đẩy, khuyến khích	THÚC ĐẨY	2014,2018,2020
252	引き起こす	ひきおこす	Gây ra, dẫn đến	GÂY RA	2015,2017,2021
253	もたらす	もたらす	Mang lại, dẫn đến	MANG LẠI	2016,2019,2022
254	生じる	しょうじる	Phát sinh, xảy ra	PHÁT SINH	2014,2018,2023
255	伴う	ともなう	Đi kèm, kèm theo	ĐI KÈM	2015,2020,2021
256	関わる	かかわる	Liên quan, có dính líu	LIÊN QUAN	2016,2017,2022
257	基づく	もとづく	Dựa trên, căn cứ vào	DỰA TRÊN	2014,2019,2023
258	及ぼす	およぼす	Tác động, gây ảnh hưởng	TÁC ĐỘNG	2015,2018,2021
259	示す	しめす	Chỉ ra, thể hiện	CHỈ RA	2016,2020,2022
260	表す	あらわす	Biểu đạt, thể hiện	BIỂU ĐẠT	2014,2017,2023
261	述べる	のべる	Trình bày, thuật lại	THUẬT LẠI	2015,2019,2021
262	指摘する	してきする	Chỉ ra, đề cập	CHỈ TRÍCH	2016,2018,2022
263	強調する	きょうちょうする	Nhấn mạnh	NHẤN MẠNH	2014,2017,2020
264	否定する	ひていする	Phủ định, phủ nhận	PHỦ ĐỊNH	2015,2020,2023
265	肯定する	こうていする	Khẳng định	KHẲNG ĐỊNH	2016,2019,2021
266	論じる	ろんじる	Luận bàn, bàn luận	LUẬN	2014,2018,2022
267	考察する	こうさつする	Xem xét, nghiên cứu	KHẢO SÁT	2015,2017,2023
268	解釈する	かいしゃくする	Giải thích, diễn giải	GIẢI THÍCH	2016,2020,2021
269	定義する	ていぎする	Định nghĩa	ĐỊNH NGHĨA	2014,2019,2022
270	証明する	しょうめいする	Chứng minh	CHỨNG MINH	2015,2018,2023
271	反映する	はんえいする	Phản ánh	PHẢN ÁNH	2016,2017,2020
272	明らかにする	あきらかにする	Làm rõ, chỉ ra	LÀM RÕ	2014,2020,2021
273	見直す	みなおす	Xem xét lại, đánh giá lại	XEM XÉT LẠI	2015,2019,2022
274	取り上げる	とりあげる	Đề cập, nêu ra	ĐỀ CẬP	2016,2018,2023
275	踏まえる	ふまえる	Dựa vào, căn cứ vào	DỰA VÀO	2014,2017,2021
276	見据える	みすえる	Nhìn xa trông rộng	NHÌN XA	2015,2020,2022
277	見通す	みとおす	Dự đoán, nhìn xuyên suốt	NHÌN QUA	2016,2019,2023
278	乗り越える	のりこえる	Vượt qua, khắc phục	VƯỢT QUA	2014,2018,2020
279	切り開く	きりひらく	Khai phá, mở đường	KHAI PHÁ	2015,2017,2021
280	築く	きずく	Xây dựng, gây dựng	XÂY DỰNG	2016,2019,2022
281	磨く	みがく	Mài giũa, rèn luyện	MÀI GIŨA	2014,2018,2023
282	鍛える	きたえる	Rèn luyện, tôi luyện	RÈN LUYỆN	2015,2017,2020
283	高める	たかめる	Nâng cao, tăng cường	NÂNG CAO	2016,2020,2021
284	深める	ふかめる	Đào sâu, làm sâu sắc hơn	ĐÀO SÂU	2014,2019,2022
285	広げる	ひろげる	Mở rộng, phát triển	MỞ RỘNG	2015,2018,2023
286	縮める	ちぢめる	Thu hẹp, rút ngắn	THU HẸP	2016,2017,2021
287	整える	ととのえる	Sắp xếp, chỉnh đốn	SẮP XẾP	2014,2020,2022
288	まとめる	まとめる	Tổ chức lại, tóm tắt	TỔ CHỨC	2015,2019,2023
289	踏み出す	ふみだす	Bước ra, tiến bước	BƯỚC RA	2016,2018,2021
290	歩み寄る	あゆみよる	Tiến lại gần, nhượng bộ	TIẾN LẠI GẦN	2014,2017,2022
291	取り組む	とりくむ	Giải quyết, đối phó	ĐỐI PHÓ	2015,2020,2023
292	向き合う	むきあう	Đối mặt, đương đầu	ĐỐI MẶT	2016,2019,2021
293	振り返る	ふりかえる	Nhìn lại, suy ngẫm	NHÌN LẠI	2014,2018,2022
294	見つめ直す	みつめなおす	Suy nghĩ lại, nhìn lại	SUY NGHĨ LẠI	2015,2017,2023
295	気づく	きづく	Nhận ra, nhận biết	NHẬN RA	2016,2020,2021
296	思い知る	おもいしる	Hiểu rõ thực tế	HIỂU RÕ	2014,2019,2022
297	受け入れる	うけいれる	Chấp nhận, tiếp nhận	CHẤP NHẬN	2015,2018,2023
298	打ち明ける	うちあける	Nói thật, thổ lộ	NÓI THẬT	2016,2017,2020
299	語りかける	かたりかける	Đối thoại, trò chuyện	ĐỐI THOẠI	2014,2020,2021
300	訴える	うったえる	Kêu gọi, khẩn cầu	KÊU GỌI	2015,2019,2022
