no	front	reading	meaning_vi	han_viet	years
51	手段	しゅだん	Phương tiện, biện pháp	THỦ ĐOẠN	2015,2018,2021
52	方法	ほうほう	Phương pháp, cách thức	PHƯƠNG PHÁP	2016,2019,2022
53	研究	けんきゅう	Nghiên cứu	NGHIÊN CỨU	2014,2017,2020,2023
54	調査	ちょうさ	Điều tra, khảo sát	ĐIỀU TRA	2015,2018,2021
55	報告	ほうこく	Báo cáo, trình bày	BÁO CÁO	2016,2019,2022
56	発表	はっぴょう	Phát biểu, công bố	PHÁT BIỂU	2014,2017,2020
57	意見	いけん	Ý kiến, quan điểm	Ý KIẾN	2015,2019,2023
58	立場	たちば	Lập trường, quan điểm	LẬP TRƯỜNG	2016,2018,2021
59	見解	けんかい	Quan điểm, cách hiểu	KIẾN GIẢI	2014,2017,2022
60	判断	はんだん	Phán đoán, nhận xét	PHÁN ĐOÁN	2015,2020,2023
61	推測	すいそく	Suy đoán, ước đoán	SUY TRẮC	2016,2019,2021
62	予測	よそく	Dự đoán, dự báo	DỰ TRẮC	2014,2018,2022
63	仮定	かてい	Giả định, giả thuyết	GIẢ ĐỊNH	2015,2017,2023
64	前提	ぜんてい	Tiền đề, điều kiện trước	TIỀN ĐỀ	2016,2020,2021
65	根拠	こんきょ	Căn cứ, cơ sở	CĂN CỨ	2014,2019,2022
66	証明	しょうめい	Chứng minh, xác nhận	CHỨNG MINH	2015,2018,2023
67	事実	じじつ	Sự thật, thực tế	SỰ THẬT	2016,2017,2020
68	現象	げんしょう	Hiện tượng	HIỆN TƯỢNG	2014,2019,2021
69	問題	もんだい	Vấn đề, bài toán	VẤN ĐỀ	2015,2018,2022
70	困難	こんなん	Khó khăn, gian nan	KHÓ KHĂN	2016,2020,2023
71	挑戦	ちょうせん	Thách thức, thử thách	THÁCH CHIẾN	2014,2017,2021
72	克服	こくふく	Khắc phục, vượt qua	KHẮC PHỤC	2015,2019,2022
73	成功	せいこう	Thành công	THÀNH CÔNG	2016,2018,2023
74	失敗	しっぱい	Thất bại	THẤT BẠI	2014,2017,2020
75	経験	けいけん	Kinh nghiệm	KINH NGHIỆM	2015,2019,2021,2023
76	学習	がくしゅう	Học tập, học hỏi	HỌC TẬP	2016,2018,2022
77	習得	しゅうとく	Tiếp thu, học được	TẬP ĐẮC	2014,2017,2021
78	理解	りかい	Lý giải, hiểu biết	LÝ GIẢI	2015,2020,2023
79	認識	にんしき	Nhận thức, nhận biết	NHẬN THỨC	2016,2019,2022
80	意識	いしき	Ý thức, nhận thức	Ý THỨC	2014,2018,2020
81	感覚	かんかく	Cảm giác, cảm nhận	CẢM GIÁC	2015,2017,2021
82	印象	いんしょう	Ấn tượng	ẤN TƯỢNG	2016,2019,2023
83	感情	かんじょう	Cảm xúc, tình cảm	CẢM TÌNH	2014,2018,2022
84	態度	たいど	Thái độ, cách ứng xử	THÁI ĐỘ	2015,2017,2020
85	行動	こうどう	Hành động, hành vi	HÀNH ĐỘNG	2016,2020,2023
86	努力	どりょく	Nỗ lực, cố gắng	NỖ LỰC	2014,2019,2021
87	責任	せきにん	Trách nhiệm	TRÁCH NHIỆM	2015,2018,2022
88	役割	やくわり	Vai trò, chức năng	VAI TRÒ	2016,2017,2023
89	立場	たちば	Vị trí, lập trường	VỊ TRÍ	2014,2020,2021
90	関係	かんけい	Quan hệ, liên quan	QUAN HỆ	2015,2019,2022
91	協力	きょうりょく	Hợp tác, cộng tác	HỢP TÁC	2016,2018,2023
92	交流	こうりゅう	Giao lưu, trao đổi	GIAO LƯU	2014,2017,2020
93	共有	きょうゆう	Chia sẻ, dùng chung	CỘNG HỮU	2015,2019,2021
94	情報	じょうほう	Thông tin	THÔNG TIN	2016,2018,2022
95	内容	ないよう	Nội dung	NỘI DUNG	2014,2017,2020,2023
96	主張	しゅちょう	Chủ trương, lập luận	CHỦ TRƯƠNG	2015,2019,2021
97	批判	ひはん	Phê phán, phê bình	PHÊ PHÁN	2016,2020,2022
98	支持	しじ	Ủng hộ, hỗ trợ	ỦNG HỘ	2014,2018,2023
99	反対	はんたい	Phản đối, đối lập	PHẢN ĐỐI	2015,2018,2021
100	賛成	さんせい	Tán thành, đồng ý	TÁN THÀNH	2016,2019,2022
